class_id	parent_class_id	pref_name	class_level	protein_class_desc
173	1182.0	Cytochrome P450 2B1	5	enzyme  cytochrome p450  cyp_2  cyp_2b  cyp_2b1
174	1182.0	Cytochrome P450 2B6	5	enzyme  cytochrome p450  cyp_2  cyp_2b  cyp_2b6
175	1183.0	Cytochrome P450 2C8	5	enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c8
176	1183.0	Cytochrome P450 2C9	5	enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c9
177	1184.0	Cytochrome P450 2D1	5	enzyme  cytochrome p450  cyp_2  cyp_2d  cyp_2d1
178	1184.0	Cytochrome P450 2D2	5	enzyme  cytochrome p450  cyp_2  cyp_2d  cyp_2d2
179	1184.0	Cytochrome P450 2D3	5	enzyme  cytochrome p450  cyp_2  cyp_2d  cyp_2d3
180	1184.0	Cytochrome P450 2D6	5	enzyme  cytochrome p450  cyp_2  cyp_2d  cyp_2d6
181	1185.0	Cytochrome P450 2E1	5	enzyme  cytochrome p450  cyp_2  cyp_2e  cyp_2e1
182	1186.0	Cytochrome P450 3A1	5	enzyme  cytochrome p450  cyp_3  cyp_3a  cyp_3a1
183	1186.0	Cytochrome P450 3A2	5	enzyme  cytochrome p450  cyp_3  cyp_3a  cyp_3a2
184	1186.0	Cytochrome P450 3A4	5	enzyme  cytochrome p450  cyp_3  cyp_3a  cyp_3a4
185	1186.0	Cytochrome P450 3A5	5	enzyme  cytochrome p450  cyp_3  cyp_3a  cyp_3a5
186	1187.0	Cytochrome P450 4A1	5	enzyme  cytochrome p450  cyp_4  cyp_4a  cyp_4a1
187	1187.0	Cytochrome P450 4A3	5	enzyme  cytochrome p450  cyp_4  cyp_4a  cyp_4a3
188	1187.0	Cytochrome P450 4A4	5	enzyme  cytochrome p450  cyp_4  cyp_4a  cyp_4a4
189	1188.0	Cytochrome P450 4F2	5	enzyme  cytochrome p450  cyp_4  cyp_4f  cyp_4f2
190	1189.0	Cytochrome P450 5A1	5	enzyme  cytochrome p450  cyp_5  cyp_5a  cyp_5a1
191	1190.0	Cytochrome P450 7A1	5	enzyme  cytochrome p450  cyp_7  cyp_7a  cyp_7a1
